timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph,log_pcmax,est_rsrq,est_sinr_dl
1768227244469174,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029311,166216121,432698,9817708,0,0,0,0,747,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244479233,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029434,166216121,432703,9817708,0,0,0,0,754,4,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244489168,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029434,166216237,432703,9817713,0,0,0,0,761,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244499373,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029557,166216353,432708,9817718,0,0,0,0,768,0,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244509160,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029680,166216353,432713,9817718,0,0,0,0,774,12,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244519172,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029680,166216469,432713,9817723,0,0,0,0,781,6,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244529156,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029803,166216585,432718,9817728,0,0,0,0,788,3,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244539203,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029926,166216585,432723,9817728,0,0,0,0,794,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244549084,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029926,166216701,432723,9817733,0,0,0,0,801,12,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
1768227244559054,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29030049,166216817,432728,9817738,0,0,0,0,808,4,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,35,35,-44,0,0,-34.0,25.0
